title	call_to_action_label	call_to_action_explanation
New partnership agreement signed with Cook Islands	None	The announcement by New Zealand Prime Minister Jacinda Ardern does not contain any direct or indirect urging for the public or the reader to take any specific action. The message is centered on providing information about APEC's strategies and plans in tackling COVID-19, highlighting global cooperation, and discussing vaccine distribution and safety measures. The call to action or efforts as described are directed at APEC economies and leaders, but not explicitly towards the general public or reader.
Over half of border workforce receive first vaccinations	Moderate	The announcement encourages public participation with moderate urgency with the statement, "We are continuing to focus on reaching at least 90% vaccination rates across all DHBs." Further, it highlights vaccine availability: "there is enough vaccines right now for every eligible person to be fully vaccinated." While the language is more informative than direct, the messaging aims to motivate the public to take action by getting vaccinated. It also discusses the government's intention to expand vaccine eligibility to younger populations, which can be interpreted as an indirect call to action: prepare for vaccination when eligibility expands.
Flu vaccine to protect Kiwis this winter	Moderate	The announcement urges ethnic community organizations to actively participate in the information dissemination process regarding the COVID-19 vaccination. It provides them with the action procedure, i.e., to apply for the funding to support initiatives that increase communication and engagement on the Ministry of Health website. However, the language used is not excessively urgent or compelling, making this a moderate call to action.
New measures to tackle COVID_19 and flu	None	Throughout the announcement, no specific action is directed at the public or reader. The announcement primarily provides information about government actions, plans, and ongoing negotiations regarding the COVID-19 vaccine. It's focusing more on keeping the public informed about the progress of the vaccine, rather than instructing them to undertake any specific action.
Tokelau champions language and culture	Moderate	This government announcement encourages the public to take action. The call to action is apparent in the messaging that encourages everyone who is eligible for the vaccine to get their shot. The urgency is fairly moderate, with the government reminding citizens about the available resources and places to get vaccinated. While they acknowledge the progress already made, the emphasis continues to be on mobilizing those who haven't been vaccinated yet to do so, bringing their communities and the country closer to fully reaching the goal.
Northland to move to Alert Level 3 tonight	None	The announcement does not propose any specific action for the public or the reader. Instead, it mostly provides updates and information about the government's financial condition, expectations, and plans. The announcement discusses various metrics such as the Operating Balance before Gains and Losses (OBEGAL), tax revenue, and debt levels. The focus is on informing the public about the economic situation and the government's response, rather than encouraging the public to take a particular action.
New fund to empower Pacific Peoples to navigate COVID_19_s protection framework	Weak	This government announcement does encourage parents to utilise the available online parenting and family support programs to nurture mental well-being amidst COVID-19 disruptions. However, the call to action is indirect and passive as it mentions these programs as being available and helpful without explicitly urging parents to use them or providing a clear sense of urgency. The primary goal seems to be informing parents and the general public about the availability and benefits of these programs, so any call to action is comparatively weak.
NZ commits further economic support to Pacific	Moderate	The announcement urges Māori, with emphasis but not high urgency, to continue getting vaccinated. It encourages taking action by highlighting the range of vaccination options available, the campaign launch 'Fight for your whakapapa', and the 08004MAORI phone line. However, the language used is not direct or compelling enough to warrant a strong call to action. For instance, Minister Henare mentions, "My number one message is come forward, get vaccinated", raising the need for action but not with intense urgency or forcefulness.
Post_peak plan a safe return to greater normality	Moderate	The announcement encourages the public to take action with moderate urgency, by urging them to get vaccinated as a key step for the government's plan to be implemented effectively. Although it does not use strong, compelling language or a sense of immediate urgency, it puts forth the call to action as critical for both individual protection and the larger aim of reopening borders safely and resuming regular activities. It also invites businesses and organisations to participate in the self-isolation pilot study. However, it does so in the context of laying out the future plan, rather than as a standalone or strongly emphasized directive.
PM Ardern call with President Biden	None	The announcement focuses on informing the public about the new transition payment scheme that will be available to businesses affected by COVID-19 restrictions, and the support systems in place as the country moves into a new traffic light system. There are no direct instructions, requests, or encouragements for the reader to take any specific action. The announcement is primarily explanatory and informative in nature.
COVID_19 milestone_ 5000th vaccinator completes specialised training	None	The announcement primarily provides information about the meeting and discussions between the New Zealand and Australian Ministers of Foreign Affairs. It outlines their cooperative commitments, shared interests, and mutual goals but does not explicitly urge or suggest the public or reader to take any specific actions. Instead, the focus is on describing the actions that the respective governments will be undertaking.
Extra support for Pacific health providers to vaccinate	Weak	The announcement makes a weak call to action in regards to the COVID-19 vaccine. Near the end of the announcement, it encourages everyone to book and get their vaccine against Covid-19 for themselves and their families. However, the line appears as a somewhat ambivalent side-note rather than a strong or moderate call for immediate action. It is not stressed or emphasized to the extent a moderate or strong call to action would be. The rest of the announcement focuses primarily on the new Māori language prediction tool, with the bulk of the text informing and explaining rather than urging any direct action from the reader or public.
PM Ardern shares warm meeting with Samoa PM	Weak	The announcement doesn't strongly urge the public or reader to take any specific action. The focus is mostly on informing the public about the government-funded flu vaccines and the importance of these vaccines. There is an implicit suggestion for the public to get vaccinated, but no direct, compelling language urging them to do so. The statement "It’s so important we continue to do what we can to protect our most vulnerable" does suggest action, but it falls under a weak call to action due to its indistinct and passive appeal.
Inclusive and sustainable economic growth centrepiece for APEC Ministers	Strong	The government announcement strongly urges all New Zealanders who are eligible for a booster vaccine to get it as soon as possible. The language used by COVID-19 Response Minister Chris Hipkins strongly emphasizes not only the importance but the necessity of getting the booster doses, positioning it as a crucial step taken by individuals to face the threat of the Omicron variant. The call to action is made even more compelling with the set deadlines for different workforces to have their booster vaccination, such as border health and disability workers (by 15th February 2022) and others in vital areas like education, police, defence (by 1st March 2022). This shows the urgency of the situation. It concludes with the appreciation for those who have already received their boosters, inviting others to join them.
1 million more Pfizer doses to arrive in July	None	While this announcement provides important information about a new vaccination assessment tool and workplace vaccination policies, it does not encourage the public or reader to take any specific action, focusing instead on informing about government actions or plans. The only actions mentioned are those required of businesses and employers, and not directed at the general public or reader.
Isolation period reduced from 10 to 7 days_ third vaccine becomes available	Moderate	The announcement encourages the public to take action, particularly towards getting their COVID-19 booster shots. While it advises that these boosters are essential for better protection against Omicron variant, it does not use highly urgent or compelling language. The call to action is moderate as the government shares its plans to control the spread - primarily strengthening the border control and pre-departure tests - while encouraging the public to participate where possible, like following the traffic light system and getting booster shots. The announcement also highlights the potential requirement of boosters for certain workers, yet it lacks a strong imperative tone addressing the wider public.
Expanded vaccination order for health and disability_ education and prison workers	Moderate	The announcement encourages New Zealanders to take action by emphasizing the importance of getting vaccinated against COVID-19. The call to action is not particularly strong or frantic, but it clearly asks people to make their vaccination appointments, as emphasized by the remarks: "Make your appointments now - every dose counts." However, the major part of the announcement is spent on informing the public about the progress of the vaccine rollout, which dilutes the urgency of the call to action.
Government takes action to give Arts and Culture sector certainty	None	This announcement does not include a call to action for the public or reader. The focus of the announcement is informing the public about the plans and actions the New Zealand government is taking to help Pacific Island communities with COVID-19 vaccine rollout and economic contributions. The language used in this announcement is informational, providing details about the actions being taken, but at no point does it ask or encourage the public or reader to take a specific action related to these initiatives.
Government opens new research and innovation hub	Weak	The announcement gives some general advice for the public to get vaccinated, addressing reservations or questions people might have and providing statistics to encourage vaccination. However, there is no direct, explicit call for the reader to go out and get vaccinated urgently. Rather, it is an implicit suggestion or implication that people get vaccinated when it is their turn, while also providing information on the vaccine rollout and plans. The call to action is weak, as it is more on passively raising awareness and answering questions regarding the vaccine.
Further pandemic support to the Pacific	None	The announcement primarily informs about the government's intended actions and plans dedicated to Māori for areas like housing, health, education, and promotes economic recovery from COVID-19, without explicitly urging the public or reader to respond or participate in any specific action.
Minister Sio to attend Niue_s Constitution Day	Moderate	The announcement encourages certain segments of the public, such as retired and overseas-trained health professionals and current healthcare workers, to join New Zealand's expanding vaccinator workforce. It's a call to action with moderate urgency as it not only appeals to their sense of duty, but also highlights the opportunities for career development and advancement in the health sector. However, it doesn't use strong and compelling language to generate immediate action from the general public. Instead, it emphasizes the importance of participation in the COVID-19 vaccine rollout, and provides specific details on how to register and participate, thereby classifying it as a moderate call to action.
Funding for vaccine development to help prevent rheumatic fever	None	This government announcement primarily focuses on informing the public of the economic support and recovery package extended to the Cook Islands and Fiji. It does not directly urge the public or reader to take any specific action. Instead, it elaborates on New Zealand's commitment to helping these nations, details on the economic package, the measures being implemented, and the overall effort of recovery amidst COVID-19.
Govt books resilient amid challenging global times	None	The announcement is purely informational, highlighting the discussions and agreements between the New Zealand and Australian ministers on trade, economic cooperation, and COVID-19-related strategies. It does not contain any directives or suggestions for the public or reader to take specific actions.
Agreement advanced to purchase up to 5 million COVID_19 vaccines	Moderate	The announcement encourages the public, specifically students, parents, and school staff, to take multiple actions to ensure safety in the context of returning to on-site learning amid COVID-19 pandemic. From getting the required testing for school staff and volunteers, to disallowing students with high risk to attend school unless fully vaccinated, to the obligatory use of masks and maintaining records for contact tracing, it lays out numerous actions to be taken, but without conveying a sense of extreme urgency or dire consequences if not followed. However, the language is notably directive and specific, making it more than just a weak or passive call, hence a moderate call to action.
New Zealand leadership contributes to significant progress at the WTO	None	The announcement is simply comprised of information sharing regarding a new bill being introduced in parliament to regulate medicines, medical devices, and natural health products. It doesn't ask anything of the public or reader, rather it simply focuses on informing the public about the new regulatory changes being introduced.
Access to COVID_19 boosters for those most at risk	Moderate	The announcement encourages the public to take action through moderate urgency by asking them to get the new COVID bivalent booster vaccine if they are in the eligible age group. Phrases like "Getting boosted is important for your health" suggest the importance of participation without employing overly urgent or compelling language. There is also a focus on the convenience offered to the public such as free vaccines, the 'one and done' approach, and the facility to check records. Furthermore, the announcement >provides details on how to book a vaccine, increasing accessibility and going an extra step towards encouraging action.
New vaccination requirement for non_citizen travellers to New Zealand	None	The announcement is predominantly informing the public about the progress New Zealand is making in preparing for the rollout of the COVID-19 vaccine, with emphasis on the efforts being made to ensure the safety and efficacy of the vaccines to be administered to the general public. There is no explicit request for action from the public or the reader in the message. The focus is on relaying information about the government's plans and actions, rather than instructing or urging the reader to take any particular action.
International collaboration delivers new tools to help tackle agricultural emissions	None	The announcement does not urge the public or reader to take any specific action. It is primarily focused on informing or describing the efforts and plans of the government and healthcare workforce in terms of the COVID-19 vaccine rollout, including their training and increasing size of the workforce. While it emphasizes the commitment of the vaccine workforce and acknowledges their efforts, it does not explicitly implore the reader to participate or respond in any way.
Vaccine mandate for border and corrections workers to end	None	The announcement is primarily aimed at informing the public about the additional doses of Pfizer vaccine arriving from Spain, and the ongoing success and future plans of New Zealand's vaccination programme. Though the satisfaction over increased vaccination rate is remarked, there is no explicit urging or suggestion for the reader or the public to take any specific action, such as getting vaccinated or following certain guidelines. The prime focus of the announcement is to display government actions and plans.
Regional economies hit _2 billion milestone	None	The government announcement is focused on informing the public about the investment in a new research platform for infectious diseases, with a focus on Covid-19 prevention, control, and management. The steps to be taken are not aimed at the public but at science and health professionals. The announcement makes no direct appeal to the public to take a specific action. The only mention of public involvement is in the co-creation of research programs with Māori and Pacific communities, but without a specific call to these communities to participate.
Monkeypox vaccination available to eligible people from next week	Moderate	The announcement encourages employers to take specific actions but uses moderate, and not very compelling or urgent, language to do so. Actions requested of employers include updating their health and safety risk assessments to reflect changes in vaccine mandate rules, and needing to be clear and specific if maintaining vaccine requirements for their workers. Furthermore, employers are urged to be fair and reasonable with employees and to undertake an updated work health and safety risk assessment. While the announcement is specifically directed to the employers, it doesn't strongly insist or urge immediate action. The language remains advisory and informative rather than compelling.
APEC finance ministers focus on inclusive_ sustainable COVID recovery	Moderate	The announcement encourages the public to get vaccinated, emphasizing its importance by stressing that "Vaccination is the best way to protect ourselves, our whānau and our communities against COVID-19”. While expressing a sense of urgency due to the increasing case numbers, the language is not extremely compelling or implying immediate action. Also, the announcement indicates that from November 26, anyone aged 18 and older who wishes to have the AstraZeneca vaccine can book an appointment, meaning the public has a role to play in taking this action.
Auckland boundary to change 15 December	None	This government announcement does not urge the public or reader to take any specific action. Rather, it focuses on informing about the immigration policies being extended due to the ongoing circumstances due to COVID-19. It details how the immigration policies have been utilized in the past and how they are being prepared for future adaptability, but it does not use any language encouraging the reader to respond or participate.
COVID_19 vaccine roll_out plan	Moderate	In the announcement, there are several statements that encourage the public or reader to take action with moderate urgency but they are not too forcefully or urgently expressed. For instance, the government is asking international travelers to voluntarily participate in data gathering efforts by taking RAT tests and sharing their information. The public is also reminded to use the free RATs available at airports and test themselves if they start showing symptoms. Finally, the public is urged to stay up-to-date with COVID-19 vaccinations including booster shots, stay home if they are unwell, and isolate if they test positive. There is a call to action, but it's not particularly pressing or forceful, therefore this announcement can be classified as a moderate call to action.
Big vaccination drive leading to a National Day of Action on October 16	None	The announcement does not specifically address the public or reader with any request or urge to take action. Instead, it is focused on reporting actions taken by the government and their plans in relation to the COVID-19 vaccine distribution. The statement communicates New Zealand's commitment to ensuring vaccine access for the Pacific nations and does not include any explicit instructions or requests for the public's participation or response.
Final preparations to ensure Phase 1 of the vaccination rollout is ready to go	None	The announcement does not directly urge the public or reader to take any specific actions. It is instead focused on informing about the New Zealand's provision of AstraZeneca vaccine doses to Fiji and the subsequent collaborative efforts towards ensuring safe and effective COVID-19 vaccines. It also mentions a pending approval process. However, it does not instruct or request any actions from the general public or reader.
New appointments to the Strategic COVID_19 Public Health Advisory Group	Moderate	The announcement is fairly urgent in tone, advocating that those who are at most risk to get severly ill from Covid-19 should get their second booster shot and that if you haven't received your first booster, it's not too late to get it for the winter season. However, the language is not so strong as to suggest immediacy, nor does it promise dire consequences if the action isn't taken immediately. Therefore, it would fall under the category of a moderate call to action.
Government response to independent Pharmac Review	None	The announcement does not urge the public or reader to take any specific action. It presents a list of individuals that have been honoured and their contributions to various fields, specifically in relation to service to the Pacific communities and action against COVID-19. There is no discernible messaging prompting readers to take any particular action in light of the information presented.
Aviation support extension provides runway for recovery	Moderate	The announcement encourages the public to support the arts and culture sector by attending summer events and shows, fostering confidence given the new Arts and Culture Event Support Scheme. It also informs event organizers about a new support scheme they can register for. However, the language used to communicate these actions is not particularly urgent nor compelling, rather it's more informative and suggestive, hence the classification as a moderate call to action.
Parts of Waikato_ Northland staying at Alert Level 3	Strong	The announcement does contain a strong call to action when it urges specific individuals in the 50-plus age group to make their own vaccine bookings from a particular date and time. Not only does it provide the specific website link, but it also provides a phone number for the COVID vaccination helpline that operates seven days a week. The language is direct and compelling, highlighting the importance of an individual taking immediate action. The statement also emphasizes that there is no cut-off, meaning bookings can be made anytime. It strongly urges the public to participate in the vaccine rollout.
Joint media release on the occasion of the meeting between European Commission President von der Leyen and New Zealand_s Prime Minister Ardern_ 30 June 2022_ Brussels	Moderate	The announcement falls under the "Moderate Call to Action" category because it urges the public, particularly Māori communities, to gather information and make informed decisions about the COVID-19 vaccine. There is encouragement for the whole community to get involved and to participate in getting vaccinated. However, the language used doesn't convey a sense of immediate urgency or direct compulsion, hence the categorization as a moderate call to action rather than a strong one. The call to action can be seen in phrases like "ensure you have the information you need to play your part in protecting our whānau, hapū, iwi, and whakapapa".
Third COVID_19 vaccine_ Novavax_ approved	Moderate	This announcement advocates for the public's involvement in getting vaccinated against flu with moderate urgency citing its importance for relieving pressure on the health system and protecting communities. However, it does not use highly urgent or explicit language, instead presenting a rational case for vaccination and targeting those most at-risk, such as the elderly and those with certain health conditions. There are numerous points of encouragement for getting vaccinated, yet the tone remains informative and persuasive rather than demanding.
Environment investments support New Zealand_s high value exports	None	This government announcement primarily focuses on detailing research funding benefits, stating government commitments, and highlighting significant projects. While it mentions important health-related issues and the role of research in mitigating them, there's no direct appeal or suggestion for the public or reader to take any action. Instead, the announcement works on a more informative level, keeping readers abreast of recent developments and government initiatives.
First COVID_19 vaccine approved	None	This announcement does not actively encourage the public or reader to take a specific action. Instead, it focuses on informing the public about the funding of several important medicines and vaccines, as well as details about the government's increased pharmaceuticals budget. There are no direct prompts for the audience to participate in any initiatives or respond in a particular way.
Another COVID_19 drug in the medicine chest	None	This government announcement is mostly informative about the legal changes in the process of vaccine boosters administration. No specific tasks, responsibilities or actions are requested from the public or reader. It merely emphasizes the Health Minister's power to approve these boosters and the forthcoming announcement regarding the eligibility criteria for a second booster.
Foreign Minister to take part in ASEAN_related meetings	Strong	The announcement ends with an urgent appeal from Prime Minister Jacinda Ardern, who said, "I strongly encourage every New Zealander not yet vaccinated to do so as soon as possible." This is a direct call to action, also iterated in the statement, "in 2021 we need everyone to get vaccinated to protect family and loved ones and to prevent future lockdowns." She underscores this call to get vaccinated by noting that even countries with higher vaccination rates are still experiencing outbreaks, therefore stressing the urgent and important need for New Zealanders to get vaccinated. She reiterates this sense of urgency by informing that there are adequate vaccine supplies, enabling everyone to get vaccinated as soon as possible.
A booster for RNA research and development	None	The announcement details New Zealand's efforts to support global and regional COVID-19 vaccination programs by donating vaccines. Although it outlines the country's steps to combat the pandemic, it does not directly urge the public or reader to take a specific action such as getting vaccinated or following specific protocols. The objective of this governmental announcement is to keep the public updated on international aid efforts, rather than directing its citizens to take any particular actions associated with the vaccine rollout.
APEC trade ministers_ unite on COVID_19 vaccine steps and rejuvenating the WTO	None	This announcement is focused on detailing the assistance that New Zealand's government is providing to Fiji to combat COVID-19. It does not ask, direction or indirectly, the reader or public to take any specific action. The core message is reporting the government's plans and actions rather than urging public participation or response.
Independent experts to advise Government on post_vaccination future	None	The announcement is focused on informing the public about the Duavata Partnership between Fiji and New Zealand. While it discusses the plans of the two governments, it does not request any sort of action from the public or reader. The statement's purpose is informational, detailing the efforts and collaborations of the two governments, but it does not actively encourage the reader to take any personal or collective action.
Technical amendment to Medicines Act	None	The announcement does not make any explicit recommendations or requests for action from the public or reader. Instead, the focus is on detailing the joint commitments, plans, and mutual interests of New Zealand and the Kingdom of Spain. The announcement describes international cooperation, bilateral relations, shared values, economic goals, efforts towards COVID-19 recovery, and more, but does not ask the reader specifically to take any action.
Government accelerates efforts to support disabled peoples vaccination experiences	None	The announcement is primarily focused on describing actions taken by the New Zealand government, specifically their financial contributions towards the COVAX initiative. It does not direct the public or reader to take any particular action. The emphasis is on what the government and COVAX are doing to combat the global pandemic.
90 percent first dose target reached in Auckland	None	In this announcement, the government is informing the public about an initiative to recognize the efforts of those who have contributed to the COVID-19 response. However, the announcement does not urge or encourage the public or reader to take any particular action. Most of the content is focused on describing the dedication and sacrifice of MIQ staff and detailing the government's plans to acknowledge these contributions, rather than calling for any action from the public.
