Text,Metric
"It has also posed challenges, and we must bring a broader perspective to economic transformation that puts at the forefront social inclusion, environmental sustainability, and gender perspectives looking for a level playing field for all.International trade and investment, within multilateral rules, has created an international economic order that has benefitted our economies.",Long Sentence
"We strongly support the World Trade Organisation, its new leadership, and efforts to deliver concrete outcomes and a pathway for meaningful reform.We support the conclusion of negotiations for a comprehensive, balanced, sustainable and ambitious European Union-New Zealand Free Trade Agreement.",Long Sentence
"We are convinced that it will provide increased opportunities for trade and investment between our two countries, and could serve as a new-generation model for future free trade agreements in the world.We will foster greater knowledge and interaction between our respective business communities, including through two-way business delegation missions where possible.",Long Sentence
We will encourage continued trade and investment links between our two countries and a free flow of visits and contacts whenever possible.Digital technologies are having far-reaching impacts on our economies and societies.,Long Sentence
"We will work together, including within the Christchurch Call to Action and in other relevant fora, to promote a free, open and secure internet, to advance a fair, inclusive digital transformation.",Long Sentence
"We will strive to reach an ambitious, consensus-based solution on digital taxation within the OECD that ensures a fairer global fiscal regime.5.",Long Sentence
"We will continue to support the ACT-Accelerator and the COVAX facility, including through donating vaccines from our respective domestic portfolios.",Long Sentence
"The world needs to increase global vaccine production capacity, ensure smooth supply chains, and remove trade barriers and logistical hurdles, ensuring universal access to vaccines as quickly as possible.",Long Sentence
"Intellectual property rights should be part of the solution towards achieving universal access to vaccines, including through a temporary waiver.Our efforts in this respect will also benefit the access to vaccines for other transmissible diseases.",Long Sentence
"Through our joint constituency of the Global Vaccine Alliance (Gavi), we will continue to promote access to vaccines for children in the world’s least developed countries.",Long Sentence
"Together we will focus in particular on gender equality, vulnerable groups, Small Island Developing States, fragile states, and reducing barriers to vaccine access.The economic crisis triggered by the COVID-19 pandemic has increased inequalities and fostered more geo-economic competition.",Long Sentence
"In the short term,restoring a safe international mobility and ensuring adequate support to vulnerable sectors particularly hit by the crisis are key priorities.",Long Sentence
"Together, we will therefore advocate for a comprehensive green economic recovery that focuses on building sustainable, inclusive, carbon neutral, digital economies.This is also the moment to strengthen the global health system, adapting it to ensure the world is better prepared for any future global health emergency.",Long Sentence
"We will closely consider the recommendations made in the final report of the Independent Panel commissioned by the World Health Organization (WHO).Maintaining open trade flows in COVID-19 related essential goods is in our mutual interest, in particular critical medical supplies, vaccines and vaccine-related equipment.",Long Sentence
We will share experience and knowledge on trade in COVID-19 related goods and on strengthening the future resilience of our global supply chain connections.6.,Long Sentence
"Climate Change and EnvironmentAs we get ready for what must be an ambitious COP 26, we will deepen dialogue and our cooperation on climate change, recognising the urgency of climate action to meet the Paris Agreement’s long-term temperature goal, including jointly advocating for international action to limit temperature to 1.5 degrees above pre-industrial levels.We will continue to work closely through the Carbon Neutrality Coalition, and to promote action on agricultural emissions through the Global Research Alliance on Agricultural Greenhouse Gases.",Long Sentence
"We reaffirm our joint commitment to rationalizing and phasing out inefficient fossil fuel subsidies that encourage wasteful consumption, recalling in particular Sustainable Development Goal target 12.C.7.",Long Sentence
"Antarctica and oceansWe will coordinate closely on Antarctic issues, including the advancement of our shared focus on conservation of Antarctic marine ecosystems.",Long Sentence
We welcome the announcement of an international meeting in Madrid in October 2021 to mark the 30thAnniversary of the Madrid Protocol to the Antarctic Treaty on Environmental Protection.,Long Sentence
"We will also continue to coordinate closely on issues related to the ocean, including seabird conservation, particularly albatross and petrels.8.",Long Sentence
"People to people, culture, education and sportsSpain and New Zealand are committed to advocating for gender equality and women’s empowerment; this includes promoting women’s leadership in our societies and their full participation in politics and institutions.Both our countries cherish the common values that sport helps to promote in our communities: team building, fair play, mutual respect, inclusivity, open participation and common rules.",Long Sentence
"We will make the most of opportunities to promote these shared values together through events such as FIFA Women’s World Cup 2023, being co-hosted in New Zealand, and the Ocean Race 2022 that will start from Spain.The Memorandum of Cooperation on Education of 2010 has been the base for the promotion of Spanish language in New Zealand and for engagement of New Zealand in English language programmes in Spain.",Long Sentence
"We will continue to explore options for more cooperation in the field of language education, exchange of language and culture assistants and support the work of the Cervantes Institute, the Prince of Asturias Chair at the University of Auckland, and Casa Asia, to further mutual cultural interaction and enrichment.We are also committed to fostering better mutual understanding through travel and contacts, especially among young people.",Long Sentence
Determined,Passive Voice
concerted,Passive Voice
needed,Passive Voice
strengthened,Passive Voice
adapted,Passive Voice
based,Passive Voice
oriented,Passive Voice
seek,Passive Voice
determined,Passive Voice
reinforced,Passive Voice
posed,Passive Voice
launched,Passive Voice
carried,Passive Voice
enhanced,Passive Voice
posed,Passive Voice
created,Passive Voice
benefitted,Passive Voice
adapted,Passive Voice
modernised,Passive Voice
convinced,Passive Voice
triggered,Passive Voice
increased,Passive Voice
hit,Passive Voice
made,Passive Voice
commissioned,Passive Voice
related,Passive Voice
committed,Passive Voice
shared,Passive Voice
co-hosted,Passive Voice
been,Passive Voice
committed,Passive Voice
occasion,Complex Word
virtual,Complex Word
Jacinda,Complex Word
Minister,Complex Word
Pérez-Castejón,Complex Word
President,Complex Word
Government,Complex Word
Welcomingthe,Complex Word
existing,Complex Word
Asserting,Complex Word
commitmentto,Complex Word
democratic,Complex Word
multilateral,Complex Word
international,Complex Word
institutions,Complex Word
Reiteratingtheir,Complex Word
commitment,Complex Word
values-oriented,Complex Word
policy,Complex Word
democracy,Complex Word
sustainability,Complex Word
equality,Complex Word
empowerment,Complex Word
emphasis,Complex Word
indigenous,Complex Word
vulnerable,Complex Word
Determined,Complex Word
transformative,Complex Word
sustainable,Complex Word
inclusive,Complex Word
economic,Complex Word
recovery,Complex Word
pandemic,Complex Word
Affirmingtheir,Complex Word
decisive,Complex Word
urgency,Complex Word
environmental,Complex Word
Wishingto,Complex Word
security,Complex Word
Committedto,Complex Word
together,Complex Word
dynamic,Complex Word
forward-facing,Complex Word
relationship,Complex Word
andRecallingthe,Complex Word
Declaration,Complex Word
International,Complex Word
Relations,Complex Word
Cooperation,Complex Word
concluded,Complex Word
Ministers,Complex Word
AffairsAdoptthis,Complex Word
Declaration.The,Complex Word
geographic,Complex Word
situation,Complex Word
opposite,Complex Word
linkages,Complex Word
political,Complex Word
dialogue,Complex Word
concerted,Complex Word
including,Complex Word
multilateral,Complex Word
people-to-people,Complex Word
relations.Furthermore,Complex Word
priorities,Complex Word
international,Complex Word
United,Complex Word
adapted,Complex Word
enable,Complex Word
necessary,Complex Word
transformations,Complex Word
transition,Complex Word
technological,Complex Word
revolution,Complex Word
societies,Complex Word
future.Hence,Complex Word
elevate,Complex Word
bilateral,Complex Word
relationship,Complex Word
Strategic,Complex Word
Partnership,Complex Word
following,Complex Word
elements.1,Complex Word
Bilateral,Complex Word
RelationsTo,Complex Word
high-level,Complex Word
political,Complex Word
strategic,Complex Word
dialogue,Complex Word
undertake,Complex Word
periodic,Complex Word
reciprocal,Complex Word
Minister,Complex Word
President,Complex Word
Government,Complex Word
international,Complex Word
mobility,Complex Word
allows.Foreign,Complex Word
Ministers,Complex Word
frequently,Complex Word
Political,Complex Word
consultations,Complex Word
Officials,Complex Word
Ministries,Complex Word
continue,Complex Word
annually,Complex Word
possible,Complex Word
alternate,Complex Word
capitals,Complex Word
regular,Complex Word
information,Complex Word
perspectives,Complex Word
areas,Complex Word
mutual,Complex Word
interest,Complex Word
Embassies,Complex Word
Wellington,Complex Word
political,Complex Word
consultations,Complex Word
exchanges,Complex Word
information,Complex Word
governance,Complex Word
political,Complex Word
security,Complex Word
regional,Complex Word
particular,Complex Word
Indo-Pacific,Complex Word
America,Complex Word
Africa,Complex Word
.Together,Complex Word
continue,Complex Word
conclusion,Complex Word
bilateral,Complex Word
agreements,Complex Word
arrangements,Complex Word
negotiation,Complex Word
particular,Complex Word
Arrangement,Complex Word
Antarctic,Complex Word
Cooperation.2,Complex Word
PartnershipNew,Complex Word
together,Complex Word
globally,Complex Word
oriented,Complex Word
international,Complex Word
multilateral,Complex Word
cooperation,Complex Word
encourage,Complex Word
celebrate,Complex Word
diversity,Complex Word
determined,Complex Word
policies,Complex Word
inclusive,Complex Word
egalitarian,Complex Word
societies,Complex Word
sustainable,Complex Word
economy,Complex Word
resilient,Complex Word
democracies,Complex Word
pluralism,Complex Word
reinforced,Complex Word
technological,Complex Word
revolution.The,Complex Word
Partnership,Complex Word
values-driven,Complex Word
policies,Complex Word
transformative,Complex Word
agendas,Complex Word
Partnership,Complex Word
coordinate,Complex Word
challenges,Complex Word
agenda,Complex Word
reinforced,Complex Word
multilateralism,Complex Word
opportunities,Complex Word
together,Complex Word
carrying,Complex Word
democratic,Complex Word
internationalist,Complex Word
Multilateral,Complex Word
actionsNew,Complex Word
continue,Complex Word
together,Complex Word
multilaterally,Complex Word
including,Complex Word
Promoting,Complex Word
security,Complex Word
responding,Complex Word
terrorism,Complex Word
violent,Complex Word
extremism,Complex Word
including,Complex Word
continuous,Complex Word
endorsement,Complex Word
Action.Promoting,Complex Word
protecting,Complex Word
equality,Complex Word
multilateral,Complex Word
regional,Complex Word
processes,Complex Word
implementation,Complex Word
Agenda,Complex Word
Sustainable,Complex Word
Development,Complex Word
Goals.Strengthening,Complex Word
United,Complex Word
addresses,Complex Word
challenges,Complex Word
initiative,Complex Word
Reinforcing,Complex Word
Multilateralism,Complex Word
Together,Complex Word
November,Complex Word
2020.Promoting,Complex Word
international,Complex Word
including,Complex Word
international,Complex Word
humanitarian,Complex Word
supporting,Complex Word
international,Complex Word
mechanisms,Complex Word
accountability,Complex Word
violations,Complex Word
international,Complex Word
particularly,Complex Word
international,Complex Word
violations,Complex Word
chemical,Complex Word
upholding,Complex Word
United,Complex Word
Convention,Complex Word
definitive,Complex Word
activities,Complex Word
out.Enhancing,Complex Word
regional,Complex Word
cooperation,Complex Word
Indo-Pacific,Complex Word
America,Complex Word
Africa.Working,Complex Word
together,Complex Word
Pacific,Complex Word
including,Complex Word
ambitious,Complex Word
amplifying,Complex Word
Developing,Complex Word
multilateral,Complex Word
regularly,Complex Word
consulting,Complex Word
Pacific,Complex Word
including,Complex Word
relation,Complex Word
European,Complex Word
contribution,Complex Word
Economy,Complex Word
Investment,Complex Word
TechnologyGlobalisation,Complex Word
connectivity,Complex Word
prosperity,Complex Word
societies,Complex Word
challenges,Complex Word
perspective,Complex Word
economic,Complex Word
transformation,Complex Word
inclusion,Complex Word
environmental,Complex Word
sustainability,Complex Word
perspectives,Complex Word
all.International,Complex Word
investment,Complex Word
multilateral,Complex Word
created,Complex Word
international,Complex Word
economic,Complex Word
benefitted,Complex Word
economies,Complex Word
adapted,Complex Word
continues,Complex Word
Century,Complex Word
Organisation,Complex Word
leadership,Complex Word
deliver,Complex Word
meaningful,Complex Word
conclusion,Complex Word
negotiations,Complex Word
comprehensive,Complex Word
sustainable,Complex Word
ambitious,Complex Word
European,Complex Word
Agreement,Complex Word
opportunities,Complex Word
investment,Complex Word
new-generation,Complex Word
agreements,Complex Word
interaction,Complex Word
respective,Complex Word
communities,Complex Word
including,Complex Word
delegation,Complex Word
possible,Complex Word
encourage,Complex Word
continued,Complex Word
investment,Complex Word
whenever,Complex Word
possible.Digital,Complex Word
technologies,Complex Word
far-reaching,Complex Word
economies,Complex Word
societies,Complex Word
together,Complex Word
including,Complex Word
relevant,Complex Word
internet,Complex Word
inclusive,Complex Word
digital,Complex Word
transformation,Complex Word
ambitious,Complex Word
consensus-based,Complex Word
solution,Complex Word
digital,Complex Word
taxation,Complex Word
RecoveryTogether,Complex Word
continue,Complex Word
advocate,Complex Word
sufficient,Complex Word
production,Complex Word
equitable,Complex Word
continue,Complex Word
ACT-Accelerator,Complex Word
COVAX,Complex Word
facility,Complex Word
including,Complex Word
donating,Complex Word
respective,Complex Word
domestic,Complex Word
portfolios,Complex Word
production,Complex Word
capacity,Complex Word
barriers,Complex Word
logistical,Complex Word
ensuring,Complex Word
universal,Complex Word
possible,Complex Word
Intellectual,Complex Word
property,Complex Word
solution,Complex Word
achieving,Complex Word
universal,Complex Word
including,Complex Word
temporary,Complex Word
benefit,Complex Word
transmissible,Complex Word
diseases,Complex Word
constituency,Complex Word
Alliance,Complex Word
continue,Complex Word
developed,Complex Word
Together,Complex Word
particular,Complex Word
equality,Complex Word
vulnerable,Complex Word
Developing,Complex Word
reducing,Complex Word
barriers,Complex Word
access.The,Complex Word
economic,Complex Word
pandemic,Complex Word
inequalities,Complex Word
geo-economic,Complex Word
competition,Complex Word
restoring,Complex Word
international,Complex Word
mobility,Complex Word
ensuring,Complex Word
adequate,Complex Word
vulnerable,Complex Word
particularly,Complex Word
priorities,Complex Word
pandemic,Complex Word
alsoprovides,Complex Word
opportunity,Complex Word
Together,Complex Word
advocate,Complex Word
comprehensive,Complex Word
economic,Complex Word
recovery,Complex Word
focuses,Complex Word
sustainable,Complex Word
inclusive,Complex Word
digital,Complex Word
adapting,Complex Word
emergency,Complex Word
consider,Complex Word
recommendations,Complex Word
Independent,Complex Word
commissioned,Complex Word
Organization,Complex Word
.Maintaining,Complex Word
related,Complex Word
essential,Complex Word
mutual,Complex Word
interest,Complex Word
particular,Complex Word
critical,Complex Word
medical,Complex Word
vaccine-related,Complex Word
equipment,Complex Word
experience,Complex Word
related,Complex Word
strengthening,Complex Word
resilience,Complex Word
connections.6,Complex Word
EnvironmentAs,Complex Word
ambitious,Complex Word
dialogue,Complex Word
cooperation,Complex Word
recognising,Complex Word
urgency,Complex Word
Agreement,Complex Word
temperature,Complex Word
including,Complex Word
advocating,Complex Word
international,Complex Word
temperature,Complex Word
pre-industrial,Complex Word
levels.We,Complex Word
continue,Complex Word
Neutrality,Complex Word
Coalition,Complex Word
agricultural,Complex Word
emissions,Complex Word
Alliance,Complex Word
Agricultural,Complex Word
reaffirm,Complex Word
commitment,Complex Word
rationalizing,Complex Word
inefficient,Complex Word
subsidies,Complex Word
encourage,Complex Word
consumption,Complex Word
recalling,Complex Word
particular,Complex Word
Sustainable,Complex Word
Development,Complex Word
Antarctica,Complex Word
coordinate,Complex Word
Antarctic,Complex Word
including,Complex Word
advancement,Complex Word
conservation,Complex Word
Antarctic,Complex Word
ecosystems,Complex Word
announcement,Complex Word
international,Complex Word
October,Complex Word
Protocol,Complex Word
Antarctic,Complex Word
Environmental,Complex Word
Protection,Complex Word
continue,Complex Word
coordinate,Complex Word
related,Complex Word
including,Complex Word
conservation,Complex Word
particularly,Complex Word
albatross,Complex Word
petrels.8,Complex Word
education,Complex Word
sportsSpain,Complex Word
committed,Complex Word
advocating,Complex Word
equality,Complex Word
empowerment,Complex Word
promoting,Complex Word
leadership,Complex Word
societies,Complex Word
participation,Complex Word
politics,Complex Word
institutions.Both,Complex Word
communities,Complex Word
mutual,Complex Word
inclusivity,Complex Word
participation,Complex Word
contribution,Complex Word
relationship,Complex Word
opportunities,Complex Word
together,Complex Word
co-hosted,Complex Word
Memorandum,Complex Word
Cooperation,Complex Word
Education,Complex Word
promotion,Complex Word
engagement,Complex Word
continue,Complex Word
cooperation,Complex Word
education,Complex Word
assistants,Complex Word
Cervantes,Complex Word
Institute,Complex Word
University,Complex Word
mutual,Complex Word
cultural,Complex Word
interaction,Complex Word
enrichment.We,Complex Word
committed,Complex Word
fostering,Complex Word
mutual,Complex Word
understanding,Complex Word
especially,Complex Word
