title,content,meta
New measures to tackle COVID_19 and flu,"Expanded eligibility for antiviralsMaking COVID-19 medicines available in pharmacies to help ease pressure on GPsSignificantly expanding access to free RATs and masksSchools provided with mask supplies and more support for ventilation and winter heating costsSecond COVID-19 booster available to those over 50Extra measures for a short time to get through the winter months.The Government is rolling out additional measures to help tackle the second Omicron wave and record levels of flu to ease pressure on the health system and health workers.“There’s no question the combination of a spike in COVID-19 cases and hospitalisations, the worst flu season in recent memory and corresponding staff absences are putting health workers and the whole health system under extreme pressure,” Minister for COVID-19 Response Dr Ayesha Verrall said.“Our modelling suggests we’re at the beginning of a second Omicron wave that could be bigger than the first, with the more transmissible BA.5 variant becoming the dominant strain in the community.“There has been a significant increase in cases over the past two weeks, and worryingly the biggest jump is in cases amongst New Zealanders aged 65 and over. That in turn has led to an increase in hospital occupancy.“We are continuing to ask New Zealanders to do three things - get vaccinated, wear a mask in many or most indoor settings and isolate when sick to suppress the spread of the virus over the remaining winter months. If we all play our part we can take some pressure off the health system.“To support this we are implementing a range of measures to help Kiwis stay well. These extra measures will help get us and the health system through the winter months. Please do your bit.Medicines“We are increasing access to antiviral medication to those most likely to end up in hospital, making free masks and RATs more widely available and doing another push to lift uptake of flu and COVID-19 vaccines including the second booster.""Antiviral medications can reduce the seriousness of COVID-19 meaning fewer people need to be hospitalised, so we are making these more widely available as pharmacist only medications.“Pharmac are also broadening the eligibility criteria to enable more people from higher risk groups to access antiviral medications. Pharmac will be making further announcements about this today.“These eligible groups will be able to access antivirals without the need for a doctor’s prescription. This means access will expand from 2 per cent to 10 per cent of cases.“From Monday 18 July anyone over 75 years of age who has tested positive for COVID-19 or anyone who has been admitted previously to an Intensive Care Unit directly as a result of COVID-19, will be eligible to access antivirals through their GP.“This will help alleviate pressure on primary care by removing the need for GPs to review every COVID-19 patient that may be eligible for antivirals.“To speed up access to antivirals, GPs can now provide back pocket prescriptionswhichmeans at-risk patients for acute respiratory illnesses can be preapproved and have their prescription ready should they become unwell and need the medicine immediately.RATs and masks“To increase uptake in use in RATs and masks packs of medical masks will be provided free along with free RAT kits for individuals and households from testing centres and in more locations by the end of the week. You do not need to have COVID-19 symptoms. And P2/N95 masks will be available for clinically vulnerable and high risk individuals.“Free RATs will be available from all current community providers, including marae, testing stations and local pharmacies.“We are encouraging everyone who needs extra RATs or masks to head to a testing site or other location and collect a free pack for you and your whānau. There is no criteria, you don’t need to be unwell or have symptoms.“Wearing masks can reduce new cases of the virus by as much as 53 per cent. We are asking New Zealanders to keep up good mask wearing, especially over the remaining winter months where the virus is more likely to pass in indoor settings.“The tried and tested measures: wearing a high quality mask, strong vaccine and booster uptake, antivirals and testing are highly effective and will put us in the best position to get through what is one of the toughest winters we’ve faced.“We are also providing 10 million child-size masks available for year 4-7 students in New Zealand and up to 30,000 masks a week for all other students and school staff, alongside extra funding to support better ventilation over winter.“These are the most effective measures we have. They are simple but if we all do them we can lessen illness and the burden on our health system and dedicated health workers, and get through this darkest part of winter,” Dr Verrall said.Notes to editors:Over the past 2 months:10.4 million RATs have been distributed.16 million medical procedure masks (7.9 million of these have been distributed through community providers)Over 3 million N95s (over 167,000 of these via community groups to high risk or vulnerable people).The Ministry of Health currently have on hand 46.6 million RATs, 41 million medical procedure masks, and 5.1 million N95s for community use, with good supply chains in place to meet increased demand as people protect themselves and others this winter.","Publication Date: 14 July 2022
URL: https://www.beehive.govt.nz//release/new-measures-tackle-covid-19-and-flu
Portfolios: COVID-19 Response"
Tokelau champions language and culture,"COVID-19 continues to be a powerful reminder of the importance of language and culture to the wellbeing of our Pacific communities, said the Minister for Pacific Peoples, Aupito William Sio.“Our Tokelau community in Aotearoa has responded strongly to the challenges of the global pandemic by getting vaccinated and supporting others in our Pacific communities to get their vaccine.“The people of Tokelau also know only too well how the global currents of uncertainty wrought by climate change erode physical and spiritual wellbeing as they also damage the land and natural environment.“So, it’s appropriate that for this year’s Tokelau Language Week, the Tokelau community has chosen ‘Tokelau! Tapui tau gagana ma tau aganuku, i te manaola ma te lautupuola’ which means ‘Tokelau! Preserve your language and culture, to enhance spiritual and physical wellbeing,” said Aupito William Sio.‘Tapui’ emphasises the need to care for and nurture the Tokelau Language and culture to ensure its growth and prosperity.“They have also embraced, for the second year running, the opportunities presented by celebrating Te Gagana o Tokelau – the Tokelau language – online, in order to keep people safe from Covid 19.“There’s a traditional saying in Tokelau culture, “ko na alofivae e hē mātutu”, that means in English ‘the soles of our feet are never dry’ – our work is never done, we must keep persevering.“I know this spirit of resilience, embodied in the Kanava wood so beloved of Tokelau’s carvers, will ensure that the language and culture of Tokelau are preserved, raising  the spiritual and physical wellbeing of our Tokelau people, be they here in Aotearoa or back on the beautiful atolls of Tokelau.”Tokelau’s three coral atolls,Atafu, Fakaofo and Nukunonu, cover a total land area of just 12 square kilometres.The most recent census records 8,676 Tokelauans living in Aotearoa, almost half of those in the Whanganui-a-Tara region. This year marks 73 years since Tokelau became part of the New Zealand realm.“Take the time this year to join Tokelauans across the motu in celebrating Tokelau Language Week with a variety of online activities. Even learning a greeting or two can be the window into Tokelau’s cultural traditions, as well as a chance to meet new people, with fresh perspectives,” said Aupito William Sio.Editor’s Note :Tokelau Language Week has been celebrated since 2012 as part of the Ministry for Pacific Peoples’ Pacific Language Weeks programme and is the ninth and final language week to be celebrated this year.The Language Week will run from 4 pm on Sunday 24 October to Saturday 30 October and is being launched online byMafutaga Tokelau I Manawatuvia the official Tokelau Language Week 2021https://www.facebook.com/nztokelaulanguageweek/.Further information and language resources on Tokelau Language Week can be found on the Ministry for Pacific Peoples websitehttps://www.mpp.govt.nz/programmes/pacific-language-weeks/tokelau-language-week-2021/.","Publication Date: 24 October 2021
URL: https://www.beehive.govt.nz//release/tokelau-champions-language-and-culture
Portfolios: Pacific Peoples"
Northland to move to Alert Level 3 tonight,"Northland will move to Alert Level 3 restrictions from 11:59pm tonight following recent information on the risk presented by the positive case initially tested in Whangarei earlier this week and confirmed in Auckland yesterday, COVID-19 Response Minister Chris Hipkins said.The person is now in an Auckland Managed Isolation Quarantine facility.“Updated information provided by the police today shows the case moved extensively around Northland after travelling there on 2 October,” Chris Hipkins said.“We believe this new information warrants an alert level change decision to keep Northland people safe.“We recognise that it is unusual to put a region into Alert Level 3 when there are no further cases. However it’s vitally important that we get ahead of any potential spread, and set up widespread testing and continue contact tracing efforts.“Restrictions will remain in place until 11.59pm Tuesday and will be reviewed at Cabinet on Monday.“This is a strict Level 3 and as with Waikato, the easing steps announced for Auckland earlier this week will not apply to Northland.“The Auckland boundary will stay in place.“A public health investigation continues to identify close contacts and any potential locations of interest.“The information we have at this stage is that the person was in Northland from the afternoon of 2 October until the evening of 6 October. They are believe to have travelled around the region, including in Whangarei, Kamo, Paihia and Kawakawa, before returning to Auckland.“Widespread testing and wastewater testing will take place over the weekend.“Every Northlander needs to stay home, get tested as soon as possible if they have symptoms, and continue to check the Ministry of Health website for updated locations of interest. And of course vaccination centres continue to be open in Alert Level 3.“We know many people in Northland live rurally, but the advice is the same for everyone – get vaccinated, get tested, and follow the Alert Level 3 requirements.“As we have seen in Waikato the virus is finding its way into rural areas and finding unvaccinated people. Distance is no barrier.”“It’s never been more urgent to get vaccinated and we urge everyone to act now – don’t wait. Information on vaccine centres is available on the HealthPoint website.”Locations of interest, testing and vaccinationThe first locations of interest for Northland have been added to the Ministry of Health’s website.They are the BP Connect Wylies petrol station at 49 Maunu Road, Woodhill, Whangarei from 11.20pm on 2 October to 12.20am 3 October. And the Z Kensington service station, corner of Kamo Road and Nixon Street, Whangarei from 3.45pm-4.45pm on 4 October.Testing centres operating in the Northland region are at Kaitaia Hospital; 1 Sammaree Place in Kerikeri, Dargaville Hospital; 20 Winger Crescent in Kamo; and Pohe Island in Whangarei.","Publication Date: 8 October 2021
URL: https://www.beehive.govt.nz//release/northland-move-alert-level-3-tonight
Portfolios: COVID-19 Response"
New fund to empower Pacific Peoples to navigate COVID_19_s protection framework,"A new fund will support the empowerment of Pacific Aotearoa to live safely under New Zealand’s COVID-19 Protection Framework, said Minister for Pacific Peoples, Aupito William Sio.In November, Cabinet agreed on $2 million in funding for the Ministry for Pacific Peoples to support outreach into the Pacific Community. This will underpin their safe transition to the COVID-19 Protection Framework.“This investment will ensure the shift to the COVID-19 Protection Framework is well communicated and understood by our Pacific communities.“From now until June 2022, MPP will engage with our communities throughout Aotearoa supporting an educational empowerment approach to Pacific peoples. I want them to have the confidence and independence to navigate safely their movements under the new framework in the languages the different Pacific nations understand,” Aupito William Sio said.The COVID-19 Protection Framework replaces the elimination strategy and former alert level system.“This transition to the COVID-19 Protection Framework is supported by our vaccination rates reaching 90 percent to minimise the spread of COVID-19. I am delighted that 92 percent of Pacific people, eligible to receive the vaccine, had received their first dose.“Delivery of the Pacific Aotearoa Community Outreach fund will enable the Ministry to determine where support and assistance is required and guide that response – such as investing in workshops to keep communities safe; initiatives to encourage Pacific people to get fully vaccinated; and programmes to remove barriers hindering Pacific communities.“This will include access to digital devices, to enable greater awareness and access to online information.“I expect this to reach over 1,000 Pacific peoples nationally, and create 50 targeted initiatives and pilots, The Pacific Aotearoa Community Outreach fund will ensure our people are supported to transition and live safely in the new framework,” Aupito William Sio said.","Publication Date: 8 December 2021
URL: https://www.beehive.govt.nz//release/new-fund-empower-pacific-peoples-navigate-covid-19%E2%80%99s-protection-framework
Portfolios: Pacific Peoples"
NZ commits further economic support to Pacific,"Foreign Affairs Minister Hon Nanaia Mahuta has confirmed Aotearoa New Zealand is providing further economic support to the Pacific to strengthen economic resilience in response to the impact of COVID-19.“The Pacific region is our home and there are so many links that have shaped Aotearoa New Zealand. Our economic interests are also intertwined and we must continue to create mutual opportunities with our neighbours,” said Nanaia Mahuta.“The whole region has felt the economic impact of COVID-19, especially on our tourism and hospitality sectors. Businesses, workers and communities across the Pacific will take some time to recover and rebuild.“Aotearoa New Zealand is committed to keep working in partnership with Pacific nations on economic resilience. I am pleased to confirm that up to NZ$75 million in additional economic support is provided in Budget 2022.“This contingency funding can be drawn-down to continue economic support for Pacific countries should the need arise in 2022/23.“Budget support is in line with Aotearoa New Zealand’sPacific Resilience Approachand demonstrates our respect for the sovereignty of Pacific countries. It has helped countries maintain core services and step-up their health responses in the face of reduced revenues due to the impacts of the COVID-19 pandemic.“The extra NZ$75 million contingency support is in addition to approximately NZ$325 million already provided for emergency budget support to countries impacted by the economic effects of COVID-19.“While the Pacific is expected to return to growth in 2022, the recovery is likely to be slower than initially forecast. Many Pacific countries remain in the midst of their first COVID-19 outbreaks. A number still have tight border controls and other restrictions still in place.“Due to the scale of the economic damage caused by COVID-19, the implications of ongoing supply chain disruptions, and a degree of uncertainty around international travel, it is likely to take several years before Pacific economies return to pre-pandemic levels.“Our support through the pandemic has also seen us donate and fund with partners more than 1.349 million doses of vaccine to the Pacific. We have also provided PPE equipment and deepened our people partnerships with training and workforce development, in order to support vaccination programmes and laboratory infrastructure.“In addition to health and vaccine support, New Zealand is also supporting other initiatives that contribute to economic resilience. These include improved access to advice and finance for small-medium businesses in the Cook Islands and supporting Fiji to implement reforms to improve the business and investment climate.“The COVID-19 pandemic has had an unprecedented economic impact on the region and so New Zealand’s response has adjusted for these fiscal risks. Even as borders begin to reopen, Pacific countries will require additional financing to move back onto a resilience path.“New Zealand has for many years worked with a number of Pacific countries on economic reform including the provision of budget support. This will continue as the wider region recovers and rebuilds,” said Nanaia Mahuta.","Publication Date: 3 June 2022
URL: https://www.beehive.govt.nz//release/nz-commits-further-economic-support-pacific
Portfolios: Foreign Affairs"
Post_peak plan a safe return to greater normality,"Traffic light system remains in place, but is significantly simplified.Post peak (from 4 April) vaccine pass requirements are removed and become optionalPost peak (from 4 April)  vaccine mandates are narrowed to health and disability, aged care, corrections and border workforcesEvidence based changes to traffic light system take effect from this weekend and include:At Red Indoor capacity limits increase from 100 to 200, and outdoor capacity limits removedOutdoor face mask requirements removedAdditional mask requirements for workers at indoor events at OrangeQR code scanning requirements removedNew Zealand’s successful management of the Omicron outbreak and high rates of vaccination mean it’s now safe to ease the restrictions that have successfully prevented widespread health and economic damage, Prime Minister Jacinda Ardern announced today.“The evidence shows we are coming off the Omicron peak with cases in Auckland having already declined significantly, and a decline expected nationally by early April,” Jacinda Ardern said.“To date we’ve had more than 500,000 reported cases of COVID-19 and expert modellers say there have probably been 1.7 million actual infections. That figure, coupled with 95 percent of New Zealanders being fully vaccinated, means we now have a high level of collective immunity.“New Zealanders have worked incredibly hard to get through this pandemic and as a result of those efforts we are now in a position to move forward and change the way we do things.“First up we have simplified the COVID-19 Protection Framework to target restrictions at those activities that reduce transmission the most.“From 4 April, My Vaccine Pass will no longer be required by the Government meaning Kiwis will no longer have to be vaccinated in order to enter those venues covered by the Pass.“We recognise that some businesses, events or venues may still choose to use vaccine passes, so we will maintain the infrastructure for them.“From 4 April, vaccine mandates will be removed, except for health and disability, aged care, corrections and border workforces.“Like many other countries we are retaining a small number of mandates targeted at keeping our COVID-19 frontline staff safe and to ensure our most vulnerable, like those in aged care facilities or those with disabilities, are protected from the virus.“I know for many this part of our defence against COVID-19 was one of the hardest. But mandates meant we reached the levels of vaccination needed to prevent the devastating outbreaks seen across the world.“We’ve also used the evidence gathered over the last few months on Omicron to make changes to the Red and Orange settings.“From midnight this Friday outdoor gathering limits will be lifted. We know being outdoors for gatherings is safe. We want to encourage that, especially at Red.“We also believe we can lift indoor gathering limits at Red with little material impact on hospitalisations, so these will double from 100 to 200.“Orange settings remain broadly the same with no gathering limits but extra guidance on holding safe events, and a new requirement for workers to wear masks at indoor events.“And so, simply put, Red means indoor gathering limits and masks, Orange means masks, and Green means guidance.“At all levels, the testing and isolation requirements remain as they are now.“We are keeping the traffic light framework in order to offer ongoing protections in the event of a new variant or in cases of future surges, but our plan is to move down to Orange and then ultimately Green once it is safe to do so.“Putting people’s health first is the best economic approach. The hard work and sacrifices of New Zealanders delivered the lowest numbers of cases and deaths in the OECD for the last two years and puts us in the best position to recover strongly.“With our cases coming down it’s time to take our next steps with confidence in the collective immunity and protections we have built up. These new settings support greater economic activity and get everyone closer to feeling a bit more normal, while also continuing to manage COVID-19 and provide protection and care for those who need it most.“With our economy now larger than pre-COVID levels, record low levels of unemployment, and tourism about to reopen we are in a strong position to accelerate our recovery. Our COVID-19 restrictions have been tough, but they have delivered a strong foundation for us to move forward,” Jacinda Ardern said.Further information is on theUnite against COVID-19 website","Publication Date: 23 March 2022
URL: https://www.beehive.govt.nz//release/post-peak-plan-safe-return-greater-normality
Portfolios: Prime Minister"
PM Ardern call with President Biden,"Prime Minister Jacinda Ardern spoke with US President Biden this morning, ahead of the APEC Informal Leaders’ Retreat on COVID-19.“President Biden and I discussed the forthcoming APEC leaders meeting and the critical importance of working together as a region to navigate out of the COVID-19 pandemic”, Jacinda Ardern said.“We also discussed the stability of the Indo-Pacific region. The United States and New Zealand share many common values and interests, including a commitment to an open and rules-based Indo-Pacific.“I raised the importance of strengthening the economic architecture in the region post-COVID in order to facilitate greater trade and investment.“We also discussed the vaccine roll-out, both domestically and in the Pacific region and both our countries efforts to ensure vaccine availability.“I thanked the President for the United States joining the Christchurch Call and how their membership has provided momentum to the work to eradicate violent extremist content online,” Jacinda Ardern said.","Publication Date: 16 July 2021
URL: https://www.beehive.govt.nz//release/pm-ardern-call-president-biden
Portfolios: Prime Minister"
COVID_19 milestone_ 5000th vaccinator completes specialised training,"A significant COVID-19 workforce milestone has been reached, with the 5000thvaccinator completing specialised training to administer the Pfizer/BioNtech vaccine, COVID-19 Response Minister Chris Hipkins says.“A huge amount of work has been going on behind the scenes to boost numbers of trained vaccinators and this is a milestone worth celebrating,” Chris Hipkins said. “This specialised online training has been vitally important in ensuring we have sufficient workforce ready as we continue to ramp-up our COVID-19 vaccine rollout.“The Immunisation Advisory Centre (IMAC) started running the training for the Pfizer vaccine in February and as of this week, we’ve had 5,358 vaccinators who’ve completed the programme.“So far, almost 2,000 vaccinators have been involved in actively immunising people since the COVID-19 vaccine rollout started nearly three months ago.“Our dedicated vaccinators - nurses, doctors, pharmacists and those in other approved vaccinating professions - are working extremely hard to protect New Zealanders against this virus as our rollout expands into Group 3, and I want to thank them for their vital contribution.“It’s important to remember that the most significant roll-out won’t begin until July when we start vaccinating the general public so we’re preparing our vaccination workforce with that timeline in mind.“Current modelling indicates we’ll need around 1,600 full-time equivalent vaccinators when our vaccination rollout peaks later this year.“Not all of the people trained so far will be available to work full-time, so additional initiatives are also underway to further boost our pool of vaccinators.“Last week for instance, the Ministry of Health kicked off consultation with the health and disability sector about change to the Medicines Regulations to allow a range of people across the country to work as supplementary COVID-19 vaccinators.“As part of this change, we would target people with health and disability sector experience, such as kaiāwhina, internationally-trained healthcare professionals who are not currently registered in New Zealand and New Zealand-trained healthcare professionals with lapsed annual practising certificates. This new workforce would undergo specialist training first and their work would be fully supervised.“This change would also enable us to increase the numbers of Māori and Pacific in our vaccinator workforce, who are currently under-represented.“We’re also improving the Ministry of Health COVID-19 Surge Workforce database to better support the next phase of the scale-up. Since the database was launched in early last year, there have been many thousands of people register their interest in supporting the programme across various roles, including as vaccinators.“This is New Zealand’s largest-ever vaccination rollout and today’s milestone is great news as part of our ongoing commitment to deliver vaccines to New Zealanders. I look forward to seeing our trained workforce continue to expand,” Chris Hipkins said.","Publication Date: 18 May 2021
URL: https://www.beehive.govt.nz//release/covid-19-milestone-5000th-vaccinator-completes-specialised-training
Portfolios: COVID-19 Response"
Extra support for Pacific health providers to vaccinate,"The Government is providing a funding boost to Pacific health providers to assist them with the delivery of the Government’s COVID-19 vaccination campaign in Pacific communities.“Our Pacific providers know and can reach our communities best. They will have access to vaccines on a rolling basis. This will enable them to vaccinate as many people as they can reach ,” Associate Minister of Health Aupito William Sio says.“These providers are trusted. Theyhave the language skills and cultural intelligence to engage with Pacific communities effectively.They will mobilise vaccination services to make it easy for people to access services, such as holding temporary clinics in our churches, workplaces and where our communities gather.“The second tranche of vaccinations will focus on non-border frontline workers and those living in high-risk settings. This includes those in the Counties Manukau DHB district over the age of 65 years or who live with relevant underlying health conditions.“This will also include older members of our Pacific communities who don’t live in residential care facilities. This is important as we know many of our older Pacific peoples live at home supported by their aiga,” Aupito William Sio said.Pacific health providers have the discretion to immunise family members living with older people, disabled people and people with relevant underlying health conditions when they accompany them to the appointment. This will be, however, with consideration to enough vaccine doses being available on site to meet expected demand until new deliveries arrive.There are a range of measures that the Government will implement to ensure equity and support for Pacific Peoples throughout the COVID-19 vaccine programme, including:Investing $10.5 million to support Pacific service delivery options.Investing $4 million to support Pacific providers to deliver COVID-19 vaccines.Investing $750,000 to support additional workforce training and development for Pacific Health providers and vaccinators.Training and support to ensure the cultural competency of the vaccinator workforce.Enabling community-based delivery so that Pacific people can easily access vaccination.Developing accessible information in our nine Pacific languages.Deliver a dedicated social marketing campaign to raise awareness for Pacific communities.“The COVID-19 Immunisation roll-out has a specific focus on encouraging our Pacific communities to get vaccinated.“Throughout the COVID-19 response, the Government has proactively recognised the need to ensure Pacific communities are vaccinated.“The Ministry of Health is working in partnership with the Ministry for Pacific Peoples to deliver a targeted Pacific engagement campaign. This includes communications in our nine Pacific languages and across channels like radio, print media, zoom and face-to-face fono,” says Aupito William Sio.","Publication Date: 19 March 2021
URL: https://www.beehive.govt.nz//release/extra-support-pacific-health-providers-vaccinate
Portfolios: Health"
PM Ardern shares warm meeting with Samoa PM,"Prime Minister Jacinda Ardern had a warm and productive meeting with Samoa Prime Minister Fiamē Naomi Mata’afa in Wellington, today.The Prime Ministers reflected on the close and enduring relationship the two countries have shared in the 60 years since the signing of the Treaty of Friendship, and since Samoa gained independence.“Aotearoa New Zealand is committed to enhancing and continuing to strengthen our relationship with Samoa as lifelong friends — or uō mamae — and I am proud to announce a special Prime Minister’s Fellowship in Prime Minister Mata’afa’s name to celebrate the 60th anniversary of our diplomatic relations,” Jacinda Ardern said.The Prime Ministers issued a Joint Statement acknowledging the strong cooperation on COVID-19 and vaccines, a commitment to work together to navigate post-pandemic economic challenges, the importance of regional unity, and the pre-eminent role of existing regional architecture, such as the Pacific Island Forum.They also agreed to strengthen cooperation on climate change, including Aotearoa New Zealand’s commitment to provide funding support to Samoa’s climate change priorities and the implementation of its climate change adaptation plans.The Prime Ministers reaffirmed their support for the Kainaki II Declaration for Urgent Climate Change Action Now.“Climate change has been identified as the top priority for the region. This is reflected in New Zealand’s fourfold increase in climate aid to $1.3 billion, with at least fifty percent going to the Pacific,” Jacinda Ardern said.“Some of this funding will go to supporting Samoa to deliver on its climate change priorities by providing climate finance towards Samoa’s Nationally Determined Contribution, National Adaptation Plan of Action, and other government efforts to address climate change, including adaptation and mitigation efforts.“We are committed to working closely together on the complex challenges facing our countries and communities, our Blue Pacific Continent, and indeed, the rest of the world, in a manner that demonstrates the manaakitanga and respect we have for each other,” Jacinda Ardern said.","Publication Date: 14 June 2022
URL: https://www.beehive.govt.nz//release/pm-ardern-shares-warm-meeting-samoa-pm
Portfolios: Prime Minister"
Inclusive and sustainable economic growth centrepiece for APEC Ministers,"Ministers have connected from across the globe to discuss trade, economic recovery and technical cooperation during the final APEC Ministerial meeting of New Zealand’s host year.Co-chaired by Foreign Affairs Minister, Nanaia Mahuta, and Trade and Export Growth Minister, Damien O’Connor, discussions were focused on resilient recovery from COVID-19 in the Asia-Pacific region.“APEC Ministers have recognised the need for a COVID recovery that ensures no one is left behind. This particularly includes women and indigenous peoples who are most negatively impacted by the global pandemic,” Nanaia Mahuta said.“It is also important that APEC continues to emphasise its strong support for global climate commitments and a low-emission, climate-resilient future for the region.“I was pleased that we could agree to a plan to halt the increase of harmful fossil fuel subsidies – which drive environmental degradation and contribute to climate change,” Nanaia Mahuta said.Minister Damien O’Connor also said that real progress had been made under New Zealand’s leadership of APEC“Since trade Ministers discussed vaccine supply chains in June, most APEC economies have made access to vaccines easier by lowering tariffs, rejecting export restrictions, and getting vaccines through ports faster.“Ministers agreed it is essential APEC supports the WTO in achieving an ambitious set of outcomes as we re-stabilise it in December. This approach will benefit all. Free, fair and open trade will get us all through the pandemic,” Damien O’Connor said.In hosting APEC, New Zealand’s priorities have been:Agreement on economic and trade policies to strengthen the COVID-19 recovery;Increasing inclusion and sustainability for a more resilient recovery, andPursuing innovation and a digitally enabled recovery.The APEC Ministerial Meeting is one of the major events in the series of events held during 8-13 November hosted by New Zealand.","Publication Date: 10 November 2021
URL: https://www.beehive.govt.nz//release/inclusive-and-sustainable-economic-growth-centrepiece-apec-ministers
Portfolios: Foreign Affairs, Trade and Export Growth"
1 million more Pfizer doses to arrive in July,"Pfizer has scheduled delivery of an estimated 1 million doses of vaccine to New Zealand during July, COVID1-9 Response Minister Chris Hipkins said today.“These consignments will double the total number of Pfizer doses we have received this year to more than 1,900,000 – enough to fully vaccinate almost 1 million Kiwis,” Chris Hipkins said.“This is great news and reassuring to see our vaccine supply ramping up. It shows our plan for what is the biggest and most complex logistical undertaking ever by the health system is on track.“The doses will arrive in weekly drops, ramping up in quantity from mid July as we start to move to the wider population roll out.“The drops will enable us to continue vaccinating Groups 1,2, and 3, while giving us the certainty needed to start the general population rollout as planned.“The supplies means DHBs can keep delivering to their plans and start accelerating their way through Group 3 from mid July – which is everyone over the age of 65 and people with disabilities and some underlying health conditions. It’s a group of more than 1 million people and will take time to work through. As we start Group 4, we will significantly ramp up our vaccination efforts.”Chris Hipkins said around 20,000 doses a day were currently being administered and the Pfizer deliveries throughout July will enable this to increase significantly. At the peak of the programme in August and September we expect to be administering 50,000 doses per day.“This will add to the significant momentum already being generated by New Zealand’s vaccine programme.”Plan on track“To date, we’ve fully vaccinated over a quarter of a million people. That is a pleasing milestone. Our strategy has meant we’ve largely avoided having to stretch the time between first and second doses as many countries have,” Chris Hipkins said.“Work is well advanced to set up more vaccination sites, deliver mass vaccination events, and bring more GPs and pharmacies on-board to help with the rollout.“While we know the ongoing pandemic can impact vaccine delivery schedules, Pfizer has given us further assurances that the remaining deliveries for 2021 are also on track, just as their deliveries to date have been.“We have vaccinated more people than we had planned for at this point in time and more than 6,800 vaccinators have completed the necessary training to administer the Pfizer vaccine.“We have at our disposal one of the best vaccines in the world and starting later next month we will start making it available, for free, to everyone in New Zealand over the age of 16.”","Publication Date: 8 June 2021
URL: https://www.beehive.govt.nz//release/1-million-more-pfizer-doses-arrive-july
Portfolios: COVID-19 Response"
Isolation period reduced from 10 to 7 days_ third vaccine becomes available,"COVID-19 cases and household contacts to isolate for a weekTwo negative rapid antigen tests required for household contacts250,000 Novavax vaccines here, people can book from tomorrowThe isolation period for COVID-19 cases and their household contacts will be reduced from 10 to seven days, Minister for COVID-19 Response Chris Hipkins announced today.“We remain committed to reducing the spread of Omicron to protect our health system and each other. However high case numbers and household contacts, and the current 10 day isolation requirement, is having a wider impact on many parts of our lives,” Chris Hipkins said.“There needs to be a balance between effectively controlling the outbreak and the flow-on effect for business and essential goods and services such as transport and food supply.“The most up to date public health advice is that there is a decline in infectiousness of Omicron over time, and that in most cases transmission occurs within seven days.“Our primary objective is to stop the chain of transmission as much as possible to manage the spread of Omicron. Seven days isolation will break the vast majority of potential transmissions, while ensuring people can get back to work quicker and therefore reducing the impact on business operations.”The change will come into effect from 11:59pm Friday 11 March.Household contacts will need to have a rapid antigen test at day 3 and day 7 of their isolation period. If they become symptomatic they should also get a test, and if the result is positive, they are required to isolate for seven days from that point.If a person is isolating and still has symptoms after seven days, they are advised to stay home until 24 hours after symptoms resolve.“I urge everyone to make sure they report their rapid antigen test result on My Covid Record, even if it is negative, so we can understand transmission within households and how the outbreak is spreading through communities,” Chris Hipkins said.“The reduction in the isolation period follows similar changes overseas and increasing evidence that people are most likely to transmit the virus earlier in their infectious period. This evidence also shows that the risk of reinfection within the first three months after someone has Omicron is very low.“For this reason, recovered cases will no longer need to self-isolate if they become a household contact within 90 days after having the virus. This is an increase from the current 28 days.“Under the Red setting of the COVID-19 Protection Framework there are additional public health measures in place that reduce the risk of onwards infection. These include limits on the sizes of gatherings, wearing face masks and physically distancing. I urge people to follow these guidelines to continue to protect our vulnerable friends and whānau,” Chris Hipkins said.Novavax available to book from tomorrow“New Zealanders awaiting the arrival of Novavax to get vaccinated against COVID-19 will be able to make an appointment online or by phone from tomorrow,” Chris Hipkins said.“A shipment of more than 250,000 Novavax COVID-19 vaccines (Nuvaxovid) has arrived in New Zealand and preparations are well advanced for some vaccination centres to be able to offer it next week.“Novavax will be available for people aged over 18. It requires two doses, with a three week gap. It has not been approved as a booster dose.“While the Pfizer vaccine remains the preferred COVID-19 vaccine in New Zealand, Novavax is now available for those people who would prefer, or require, an alternative,” Chris Hipkins said.People are able to book a Novavax vaccine throughBookMyVaccine.nz or by calling Healthlinefrom Thursday 10 March, with the first vaccine appointments available at a limited number of sites from Monday 14 March. For more information:https://www.health.govt.nz/covid-19-novel-coronavirus/covid-19-vaccines/covid-19-vaccines-getting-novavax","Publication Date: 9 March 2022
URL: https://www.beehive.govt.nz//release/isolation-period-reduced-10-7-days-third-vaccine-becomes-available
Portfolios: COVID-19 Response"
