title	call_to_action_label	call_to_action_explanation
Health and Social Care Secretary's statement on coronavirus (COVID-19): 16 November 2020	Moderate	The announcement contains a call to action, but it is not framed with strong, compelling language or a pressing sense of urgency. The government encourages the public to remain vigilant, follow the rules to keep the virus under control, and appreciate the efforts taken by public and healthcare authorities. They also indirectly suggest participation in upcoming vaccine trials and the importance of testing, though without a direct, compelling request. Hence, the label 'Moderate' is the most suitable.
Vaccines highly effective against B.1.617.2 variant after 2 doses	Strong	The announcement explicitly implores the public to take the vaccination. There are direct statements from the Health and Social Care Secretary Matt Hancock and the Minister for COVID-19 Vaccine Deployment Nadhim Zahawi stressing the importance of getting the second dose of the vaccine to provide the strongest possible protection against COVID-19 and its variants. They are urging people to book their jab when offered, and to take full advantage of the high levels of protection the vaccines bring. The language used is compelling and aimed specifically at the public, indicating a strong call to action.
Universal vaccination of children and young people aged 12 to 15 years against COVID-19	None	The announcement is strictly informational, providing updates about the UK Chief Medical Officers' advice regarding COVID-19 vaccination for 12 to 15 year olds, and offering links to related statements and publications. It does not ask or encourage the public or reader to take any action or participate in any activities. It simply provides information for the public to be informed about government actions and plans.
Get Boosted Now text message to go out from Boxing Day	Strong	The announcement strongly urges the public to take immediate action, using an impassioned and direct language aimed specifically at them. The phrases such as "Get Boosted Now", "it is vital to get a first and second jab", and "We are texting this Boxing Day for all eligible adults to Get Boosted Now" indicate a strong call to action. Additionally, the statement from Health and Social Care Secretary Sajid Javid emphasizes the importance and urgency of getting the booster vaccine now, encouraging the public to incorporate this into their festive holiday traditions. The message not only gives direct orders but also conveys a sense of urgency for those not yet boosted to take the vaccination, and hence classified as a strong call to action.
COVID-19 vaccines have prevented thousands of deaths in older adults, new data shows	Strong	This government announcement is urging the public to take immediate and specific action, namely to get vaccinated as soon as they become eligible. The Health and Social Care Secretary and the PHE Head of Immunisation both provide direct statements to the public, stressing the importance of getting the vaccine and the benefits it has shown so far. The announcement explicitly encourages every eligible member of the public to participate in the vaccination program to save lives.
Over 30 million people urged to take up ‘vital’ flu and COVID-19 vaccines	Strong	This announcement utilizes a substantial amount of direct and compelling language aimed at the reader, urging them to take immediate action. Specific actions include taking up the offer for Flu and COVID-19 vaccination, practicing good hand hygiene, wearing masks, and covering one's mouth when coughing or sneezing. The announcement explains why these measures are vital, suggesting an immediate threat from both viruses, and emphasizes the potential severity of co-infection. Hence, the containment of the viruses depends significantly on the actions of the public.
Environment Secretary tours Cornish mass vaccination centre	Strong	This government announcement strongly urges the public to take immediate action with a direct and compelling language. The message "All those eligible for a vaccination are urged to take them up to make sure that they are able to get the protection they need" directly pushes the readers to get vaccinated. Additionally, the message concludes with a strong call to action to people aged 70 and older to contact the NHS and book their appointments for the vaccine, emphasizing it with the line "don’t wait for your letter, just pick up the phone, or book online now". Therefore, it is a strong call to action as it directly insists the public to participate in the vaccination drive.
Business Secretary calls on businesses to continue supporting vaccine rollout	Moderate	This government announcement encourages businesses to continue supporting the national vaccine rollout effort. While it does not use compelling language or stress immediate urgency, it clearly communicates the actions the desired party - businesses of all sizes - should take. Actions such as allowing workers paid time off to receive the COVID-19 vaccine and offering workspace to be used as vaccination centres are discussed. The announcement does place a focus on the participation of businesses with multiple examples provided and praises given to companies who have already pledged support to build a motivational tone. These factors contribute to a moderate call to action.
Second COVID-19 vaccine authorised by medicines regulator	Weak	The announcement does urge the public to continue to follow guidelines and restrictions to curb the spread of COVID-19, specifically under the words of Health and Social Care Secretary Matt Hancock where he says, "While it is a time to be hopeful, it is so vital everyone continues to play their part to drive down infections." Additionally, there's a message to those who have received their first vaccination to await contact from the NHS for the rescheduled appointment of the second dose. However, these calls for action are not strongly emphasized or a major focus of the announcement. The primary focus of the document is to inform the public about the vaccine approval, its distribution, and its benefits.
'2020 – a year like no other' - Reflections about very busy times in Chile	Weak	The message does have a weak call to action in which it encourages the reader to follow the British Embassy in Santiago's activities on different social media platforms including Facebook, Twitter, Flicker, Instagram, and LinkedIn. There are no strong directives or urgent prompts for the reader to get involved or take immediate action. The primary focus of the announcement is on providing an overview of what has been done over the past year, rather than soliciting public engagement.
COVID-19 vaccine supply and manufacturing in the UK	Weak	The government announcement focuses mainly on informing the public about the COVID-19 vaccine rollout progress and procedure in the UK. While it does emphasize the importance of global solutions and encourages manufacturers to make vaccines available at cost, there is a lack of direct and specific instructions for the public or reader to take immediate action. The call to action, therefore, is relatively weak compared to a strong call to action which would involve direct instructions or compelling language aimed specifically at the public or readers to take immediate action.
Foreign Secretary thanks medics on vaccine frontline	Moderate	The announcement does two things: firstly, it urges those who are eligible for the vaccine to get it as soon as possible. This is a direct call to action, although it is specific to only one segment of the public, those who are eligible for the vaccine. Secondly, it encourages everyone to stay at home if possible, to protect the NHS and save lives. This is another critical call to action targeted at the entire public, but the language is relatively moderate, suggesting rather than forcefully insisting. Therefore, this statement is categorized as a moderate call to action.
Clinical trialists to be offered 'top-up' vaccine doses	Moderate	The announcement moderately encourages the public to continue participating in COVID-19 vaccine trials, and also outlines the new opportunity for trial participants to receive additional approved vaccine doses for international travel. While the government does not use direct and compelling language here, it urges trialists to avail of their new option for additional vaccinations and to take a booster dose if eligible. It additionally asks trial participants to look out for incoming letters with further details and calls them to direct their questions to the trial team. This shows a sense of moderated urgency for action, particularly with the context of the pandemic and the need for a vaccinated population. It also makes a general appeal for more countries to recognize trial participants as fully vaccinated, however, the primary target audience of the announcement is the UK public.
New vaccine marketing campaign urges millions to boost their immunity this winter	Strong	The announcement not only gives crucial information but also directly calls upon its readers to take immediate action on a few occasions. This strong call to action is evident in phrases like "we are actively encouraging, through our new marketing campaign, everybody eligible to come forward for both jabs as soon as possible", "If eligible please come forward for your jabs as soon as you can – it is important to be protected before any winter surges begin", among others. These statements use strong, compelling language urging the public to get vaccinated for flu and take the Covid-19 booster shots.
Minister calls for at risk groups to get booster jabs	Strong	Multiple authoritative voices in the announcement – including Kemi Badenoch, Minister for Equalities, Maggie Throup, Minister for Vaccines and Public Health, Professor Kevin Fenton, and Dr Raghib Ali – urgently implore the public to get their first, second, and booster doses of the COVID-19 vaccine. They directly address those who are unvaccinated, not fully vaccinated, or eligible for a booster shot, and emphasize that vaccines provide key protection against the virus. This represents a strong call to action as it uses direct and compelling language to target specific groups to act urgently for their protection as well as for the wider community. The announcement also calls for action by encouraging people to visit the NHS website for further information and to book their vaccination appointments.
30 million people in UK receive first dose of coronavirus (COVID-19) vaccine	Strong	The announcement contains multiple, direct and urgent calls to the public to get vaccinated. It uses phrases such as "Everyone over 50 or those who are clinically vulnerable urged to come forward for vaccines as soon as possible", "When you get the call - get the jab", and "I urge everyone, regardless of race or religion, to come forward for the vaccine when it’s your turn." Moreover, it makes a specific appeal at the end, saying "we want everyone to take up the offer of an appointment when they are invited - all those 50 and over can book a jab now." Each of these instances represents an urgent, clear call to action for members of the public to get vaccinated.
One year anniversary of UK approving Oxford/AstraZeneca COVID-19 vaccine	Moderate	The announcement features a moderate call to action as it encourages the public to get vaccinated but does not underscore an immediate or urgent need. Specifically, Health and Social Care Secretary Sajid Javid tells everyone to "roll up your sleeves and get your jabs", and Vaccines Minister Maggie Throup urges people to "take advantage and get your vaccines". Despite the necessity implied, direct or compelling language urging immediate action is not used, hence the classification as a moderate call to action.
Pfizer/BioNTech COVID-19 vaccine shelf-life extended from 5 to 31 days, says MHRA	None	The announcement is primarily informative in nature, explaining the improved storage conditions for the Pfizer/BioNTech vaccine and the implications this has for its wider use in various healthcare settings. However, there are no specific instructions or calls for action directed at the public or readers. The announcement does not ask the public to respond in any way, such as by getting vaccinated or contacting their healthcare providers; instead, it is just updating them about the ongoing effort in vaccine management.
Across borders: the UK’s multilateral response to a global health crisis	None	The given announcement doesn't urge the public or the reader to take any specific action. Instead, it mainly informs about the steps and measures taken by the UK government and its partners in response to the COVID-19 pandemic. The text discusses vaccine development, partnerships for equitable access, and global cooperation, but doesn't make direct appeals for the reader’s involvement.
Independent batch release testing of COVID-19 (coronavirus) vaccines by the NIBSC	None	This announcement does not contain any advice, recommendations, or requests directed towards the public or reader to undertake any specific action. Rather, the text is informative, detailing the independent vaccination testing procedures and the responsible bodies involved. The purpose is to inform about the steps taken to ensure the safety of the COVID-19 vaccine, but it doesn't ask the reader to respond or participate in any way.
Almost 100% of people have antibodies after second vaccine	Strong	This government announcement strongly expresses the important role the public plays in the fight against COVID-19. It actively encourages people to get vaccinated using direct, compelling language aimed at the reader. Health and Social Care Secretary Sajid Javid and Vaccines Minister Nadhim Zahawi both emphasized the need to get the vaccine and especially the importance of the second dose. It's marked as a "strong call to action" because it urges everyone to come forward for the vaccine, emphasizes that vaccines are the best protection available, and clearly tries to drive home the importance of both doses for everyone.
More than 2 in 3 adults receive both doses of vaccine	Strong	The announcement strongly urges the public to receive both doses of the vaccine, underlined by direct statements such as "All adults are eligible to get their second dose after 8 weeks" and "If you’re over 18, book both your jabs today." It directly asks for public action, citing benefits such as non-quarantine after returning from an amber list country, no legal requirement for self-isolation being a close contact after double vaccination. This can be seen particularly in Prime Minister Boris Johnson's statement of "Now let’s finish the job" and Sajid Javid's urging of "please come forward for your jab if you haven’t already". These strong calls from leaders highlight the importance of public participation in this campaign.
Moderna COVID-19 vaccine authorised by UK medicines regulator	Moderate	In the presented announcement, there is moderate urgency for the public to take action. Specifically, Secretary Matt Hancock urges everyone to continue following rules to keep coronavirus cases low, even as the vaccine becomes more available. This call to action is reinforced by Deputy Chief Medical Officer Professor Jonathan Van-Tam who advises everyone to follow rules until enough people have been vaccinated. Although the language used doesn't strongly urge or compel immediate action or drastic changes in the public's behaviour, it does encourage continued adherence to protective measures amid the vaccine rollout.
Government sets out new action to tackle B1.617.2 variant	Moderate	The announcement does encourage the public to take action, but there isn't an extremely high sense of urgency in its tone. Messages such as, "please exercise caution, get a test, and as soon as you’re eligible, get the jab," definitely press the public to act responsibly by taking precautions, getting tested, and receiving the vaccination, but the language remains somewhat measured and moderate, rather than pressuring or demanding immediate, intense action.
Pfizer/BioNTech COVID-19 vaccine: MHRA statement	None	This announcement does not call on the public or reader to take any specific action. Instead, it focuses on descriptions of upcoming processes related to the approval of COVID-19 vaccines, and information on MHRA's assessment methods and principles. The announcement is informing the reader about the government's steps and plans in the context of the vaccine rollout, without asking for any type of action or participation from them.
New support to help vulnerable countries tackle Omicron	None	The announcement predominantly informs about the UK government's initiatives and steps taken to combat the COVID-19 Omicron variant, focusing particularly on aid to Africa and other vulnerable countries. It includes contributions towards testing, oxygen supplies, hygiene campaigns, and worldwide vaccine sharing. However, it does not include any specific call to action directed towards the public or reader. The announcement solely focuses on providing information rather than urging the public or reader to take any particular action.
New study finds strong immune response following COVID-19 vaccination	Strong	In this announcement, there is a strong call to action as it clearly and assertively urges the public to get vaccinated and more importantly, to make sure they get their second dose. Statements such as "It is vital everyone gets a second dose when invited" and Health Minister Lord Bethell's urging for everyone to "come forward to be vaccinated when invited and to take up both doses of the vaccine" underscore the importance the government places on public participation in the vaccine rollout. There is also a call to continue following "Hands, Face, Space" guidelines, even after vaccination. The call to action is persistent and directed at the public throughout the announcement.
Unvaccinated mothers urge pregnant women to get jabbed	Strong	This government announcement strongly urges pregnant women to get vaccinated against COVID-19, urging them to "get vaccinated as soon as possible", "take up the vaccine", and "get your vaccines as soon as they can". It includes personal testimonies from unvaccinated mothers who suffered severe consequences from COVID-19, along with statistics and expert advice that underline the urgency and importance of this call to action. The call to action is clear, direct, and presented with strong emphasis on the urgent need for pregnant women to get vaccinated for their own protection and the well-being of their babies.
Certification for vaccine clinical trial participants	None	This announcement doesn't provide any specific information or request directed at the public or reader. It is merely a list of individuals who have provided science advice to various governments, without any mention of guidelines, advice, recommendations, or instructions for action to be taken by the reader or public.
Nationwide drive to urge vaccine take-up in priority groups	Strong	The announcement clearly and quite strongly urges the public to take immediate action. It uses direct and compelling language to emphasize the importance and necessity of getting the COVID-19 vaccine. The call to action is persistent throughout the announcement, specifically towards those who are eligible for the vaccine, health and social care workers, and individuals over the age of 70 who have not yet been vaccinated. The message includes direct instructions on how to book a jab and underlines the imperative role of everyone in fighting the pandemic. Hence, it represents a strong call to action.
Modified COVID-19 vaccines for variants to be fast-tracked, says MHRA and other regulators	None	The announcement does not include any call to action. Instead, it focuses on informing and explaining the regulatory process for approving modified COVID-19 vaccines. The note by the Chief Scientific Officer is reassuring and encourages public confidence in the process but does not instruct or request the public to perform a particular action. The contact data for media enquiries is standard and does not constitute a call to action for the general public.
Letter from the Health and Social Care Secretary on COVID-19 vaccination in people with learning disabilities	None	The announcement is just mentioning a correspondence between the Health and Social Care Secretary Matt Hancock and Professor Wei Shen Lim at the JCVI. It does not contain any direct or indirect requests for action from the public or reader.
Oxford/AstraZeneca vaccine gives hope as Tier 3 and 4 measures extend to wider areas	Moderate	Although the majority of this announcement touches on informing and describing government actions or plans regarding COVID-19, there is a moderate call to action when the speaker talks about the responsibility to keep the virus under control and following the Tier 3 and Tier 4 measures. However, the call to action is not strongly directed at the public and lacks a sense of immediacy, qualifying as a "moderate" call to action.
Sanofi Pasteur COVID-19 vaccine authorised by MHRA	None	This announcement is primarily informative, providing details about the authorisation of a new vaccine, its components, results of clinical tests, and side effects. However, it does not contain any specific instructions or urges for the public to take immediate action, such as getting vaccinated. Instead, the focus is on conveying the safety and effectiveness of the vaccine.
World's first coronavirus Human Challenge study receives ethics approval in the UK	Moderate	The announcement encourages healthy young adults, ages 18 to 30, to volunteer for a study in the understanding and countering of Covid-19. However, while the call is clear, it does not use particularly urgent or compelling language. The audience is addressed multiple times and the importance of their potential participation is well-explained, but the overall tone remains moderately urgent, hence the "Moderate" label.
Oxford University/AstraZeneca COVID-19 vaccine approved	None	This announcement primarily focuses on detailing the approval process and specifications of the Oxford University/AstraZeneca vaccine, as well as providing updates on the use of the Pfizer/BioNTech vaccine. It does not explicitly urge the public to get vaccinated or to take any other particular action. It primarily serves to inform and provide transparency about regulatory processes and vaccine details.
Novavax COVID-19 vaccine approved for 12 to 17s by MHRA	None	The announcement is primarily intended to inform the public about the approval of the Nuvaxovid COVID-19 vaccine for use in 12- to 17-year-olds. It offers detailed information about the authority, approval process, and committees involved in this decision. However, there is no explicit call to action directed at the public or reader. Rather, the message provides updates on regulatory decisions without suggesting any specific actions that the public should take in response to this information.
Latest monitoring data confirms safety of COVID-19 vaccines	Moderate	The announcement encourages the public to take action, particularly in reporting any observed adverse reactions after receiving the COVID-19 vaccine. The language used, such as "encouraged to report", indicates a call to action, but there is a moderate sense of urgency as the aim is to ensure safety, rather than an immediate, critical need for response. There is also a respectful thank you message to those who have already reported potential side effects.
Minister Zahawi update to the House on step 4 and NHS COVID Pass	Moderate	This government announcement involves a moderate call to action. The speaker encourages members of the public to continue with measures like social adherence to the "small steps" such as wearing masks, ventilating rooms, and getting regular tests. The call to use the NHS COVID Pass is also highlighted. Towards the end, a call is made for the public to get vaccinated, but the language used is more suggestive than directive. The speaker also urges people, who are likely proprietors, to consider using the COVID Pass in their venues but does not insist on immediate action.
Public urged to get boosted as 22 million top-up jabs delivered	Strong	The announcement repeatedly urges the public to take immediate and crucial action in getting the booster vaccine, particularly highlighting its importance in light of the new Omicron variant. It places strong emphasis on booking a booster jab appointment as soon as possible for those eligible, and emphasizes the importance of participating in the COVID-19 vaccination programme to protect themselves and others. This constitutes a strong call to action, coupled with a sense of urgency, to obtain the booster shot. The language used is direct and compelling, aimed at encouraging the public to take immediate action. Besides, people over 50 are also openly encouraged to sign up for the national antiviral study indicating another strong call to action.
Testing measures to ensure young people return to classrooms	Moderate	The government announcement suggests a moderate call to action, as it encourages students, teachers, and the general public to regularly self-test, continue with precautionary measures such as wearing face masks and maintaining good hygiene, and get vaccinated or receive boosters. Although the message itself is urgent as it relates to public health, the language used is moderate and advisory in nature, not necessarily urging immediate action. The announcement also sets forth measures that schools and colleges are taking, but this is not considered a call to action towards the public.
Sir Lenny Henry urges Black Britons to take COVID-19 vaccine	Strong	The announcement strongly urges the Black community in the UK, in particular, to get vaccinated when their turn comes. It uses influential figures and heartfelt language to directly appeal to these individuals, conveying agency and urgency. There are numerous instances where this call to action is evident, as seen in quotes like "take the jab" and "when your turn comes, take the jab," as well as "I’m saying, when your turn comes, take the jab". Additionally, it is mentioned for readers who have received the vaccination letter to log on to the national booking service and choose from vaccination sites, or call a provided hotline. The strong call to action is reiterated in this statement: "Don’t let coronavirus cost even more Black lives," followed by the reaffirmations of "We love you. We don’t want you to get sick. We don’t want you to die." Such lines are enforcing the urgent call for the public to take the vaccine.
Two-thirds of UK adults receive first dose of a COVID-19 vaccine	Strong	The announcement clearly and firmly instructs the public several times to get vaccinated when it is their turn, emphasizing the importance of this action in controlling the pandemic. With phrases such as "public urged to get the jab when their time comes", "I strongly encourage everyone to take up the offer", and "I encourage everyone to book their jab as soon as they’re offered it, and to come back for their second dose", the announcement is presenting a strong call to action. Additionally, the announcement uses compelling language and offers a sense of urgency, underpinning the urgency of this public health issue.
Government publishes plan for the largest vaccination programme in British history	Moderate	This announcement includes some encouragement for the public to take action such as abiding by restrictions, and volunteering in the vaccine rollout program, therefore it falls under moderate call to action. The statement by Matt Hancock: "it is mission critical that everybody abides by the restrictions in the coming weeks", calls for the public to follow restrictions. Business Secretary Kwasi Kwarteng also encourages businesses to allow their staff to volunteer in the vaccine rollout: "I encourage businesses, wherever possible, to allow their staff time and scope to volunteer." However, overall, the language is not overwhelmingly direct or urgent.
JCVI issues advice on COVID-19 vaccination of children and young people	Weak	The announcement mainly states factual information and informs about the recommendations by the JCVI. Though it advises children at increased risk and young people living with an immunosuppressed person to get vaccinated, it doesn't use very direct or compelling language which suggests a weak call to action. It also does not outline explicit steps for the public to follow or stress urgency in terms of immediate vaccination. Instead, it carefully outlines the reasons behind selective vaccination, letting individuals decide if they fit into these categories.
UK government’s response to Moderna’s publication of efficacy data for its COVID-19 vaccine	None	The announcement primarily provides information on the government's efforts to acquire and distribute potential COVID-19 vaccines. It does not give explicit instructions or suggestions for the public or reader to participate or respond in a specific way. The focus is on informing the audience about the current situation without requesting any immediate action from them.
Vaccine status drives over one million new users to the NHS App	Moderate	The announcement encourages the public to use the NHS App by asserting the many benefits, such as accessing vaccine status, booking GP appointments, ordering repeat prescriptions, and registering for organ donation. The encouragement is not presented with strong urgency or pressure, rather it is explained in softer terms with emphasis on the convenience that comes with the app usage. This, therefore, makes the announcement to possess a moderate call to action.
Minister Nadhim Zahawi Oral Statement on step 4 of the road map	Moderate	The announcement encourages the public to take several actions- getting the jab, going for the second dose, getting the booster shot, getting tested, considering the advice, and continuing to act with caution. However, these calls to action are delivered in a moderate tone, conveying some urgency but not demanding immediate action. Words such as “keeping reinforcing," "must continue," and "help us" indicate an encouragement for the public to take part in the effort, but it doesn't involve language that demands immediate action or threatens severe consequences if these actions are not taken.
Statement on AstraZeneca COVID-19 vaccine following JCVI update	Moderate	The announcement encourages the audience to get vaccinated when they are called forward, emphasizing that vaccines provide strong protection against COVID-19. The language used is indeed urging but not overly compelling, maintaining a moderate urgency level. Additionally, the directive is quite clear, albeit not bolstered with a high level of urgency, hence classifying it as a moderate call to action.
More than 2.2 million people in UK receive first dose of COVID-19 vaccine	None	The announcement does not urge the public or reader to take any specific action. It primarily provides information regarding the number of people who have received the first dose of the Covid-19 vaccine, the prioritization of vaccinations, and the locations of the first seven vaccination sites. While this information could be considered implicitly motivational, there is no direct request or encouragement for the reader to take any particular action such as getting vaccinated or following specific guidelines.
UK regulator confirms that people should continue to receive the COVID-19 vaccine AstraZeneca	Moderate	The announcement repeatedly encourages individuals to still get the AstraZeneca vaccine despite concerns about blood clots and places emphasis on the critical importance of doing so given the overall benefit of preventing COVID-19. The call to action is moderate as it does provide clear instructions for action (to get the vaccine when it is their turn, and to seek medical attention if experiencing certain side effects) but it does not use particularly urgent or compelling language to stimulate immediate action.
F1 stars including Lewis Hamilton back COVID-19 vaccine drive	Strong	The announcement strongly implores the public to take immediate action. This includes getting COVID-19 vaccines and boosters, taking up the flu jab offer if eligible, and visiting any of the available vaccination centres, pharmacies, or GP practices. The call to action is further emphasized through the involvement of F1 drivers, who appeal directly to fans to participate in the vaccination rollout, and the Vaccines Minister, who urges those eligible to come forward and get protected as soon as possible. It highlights the continued urgency to get vaccinated and boosted against COVID-19 in the context of the new Omicron variant. The call to action is maintained throughout the announcement, making it a strong one.
UK marks 132 million life-saving COVID-19 vaccinations in 2021	Strong	The announcement contains a powerful and persistent urging for the public to get their COVID-19 booster vaccine, with a continual emphasis on the phrase "Get Boosted Now". The call to action is aimed at enhancing the public's protection against the Omicron variant by vaccinating as many people as possible. There is a clear and direct invitation to book vaccination slots online or visit vaccination centers, highlighting the government's effort to ensure everyone's safety and urging the public to participate. The government even encourages people who have recovered from acute illnesses, or those who have had COVID-19 and after 28 days have passed, to seek the booster jab to ensure their protection. This constant provocation suggests a strong call to action directed at the public.
Health chiefs encourage more pregnant women to get their COVID-19 vaccine	Strong	The announcement urges pregnant women to get vaccinated, emphasizing the importance for their own health as well as that of their babies. It uses compelling language to highlight the severity of COVID-19 in later stages of pregnancy and risks of premature birth, utilizing healthcare professionals' quotes to emphasize the urgency. The recurring phrases 'urge', 'we strongly urge', 'we recommend', 'it's so important', 'come forward', and 'take up the offer' signify an immediate need for action among this targeted group. There is also a strong call to action for expectant mothers to seek professional advice if they have any concerns or queries about taking the vaccine.
UK Government doubles armed forces support for vaccine roll-out in Wales	None	The announcement is informing readers about what the government and armed forces are doing to aid in the COVID-19 vaccination program. It's filled with details on the activities and plans of these organizations, but there is no explicit call to action that asks the public or reader to do anything specific.
JCVI advises use of additional bivalent vaccine for autumn booster campaign	Moderate	The government announcement moderately encourages the public to receive the autumn booster vaccine when it's offered, especially for those eligible. This is seen in the statement by Professor Wei Shen Lim, who asserts, "We strongly encourage everyone who is eligible to have their booster vaccine this autumn when it is offered." However, the overall language of this announcement is informative and explanatory, rather than urging immediate or compelling action, hence it's classified as a moderate call to action.
Approval of the Oxford University/AstraZeneca coronavirus vaccine: Foreign Secretary's statement	None	The announcement primarily focuses on relaying information about the efforts and contributions of the UK, Oxford University, and AstraZeneca in global COVID-19 solutions. It highlights the collaborations, donations, and commitments to ensure that vaccines reach developing countries. However, no specific action is directed towards the public or the reader. Actions of the government and other entities are outlined in detail, but there are no explicit instructions or suggestions for the reader's response or participation.
UK calls for ceasefires to vaccinate people against COVID-19	None	The announcement is primarily informational, detailing the UK's initiatives and plans to promote global ceasefires and provide vaccinations in conflict zones. It underlines the UK's leadership and efforts in global vaccine distribution. However, it does not directly request the public or reader to take a specific action or encourage participation in a certain way. The contact information provided at the end is for media enquiries, not a public call to action.
